codigo_ine,municipio,poblacion_2025,n_poligonos_residenciales,superficie_residencial_m2,superficie_residencial_ha,superficie_media_poligono_m2,superficie_mediana_poligono_m2,superficie_max_poligono_m2,perimetro_total_m,suelo_residencial_m2_por_hab,municipio_key,area_m2_SUNC,area_m2_Urbanizable,area_m2_desarrollo,sunc_m2_por_hab,urbanizable_m2_por_hab,comarca,precio_venta_eur_m2,precio_alquiler_eur_m2_mes,poblacion_aprox,tipo_dato,fuente,fecha,reserva_suelo_hab,indice_expansion,densidad_residencial,poblacion_2025_norm,precio_venta_eur_m2_norm,precio_alquiler_eur_m2_mes_norm,suelo_residencial_m2_por_hab_norm,reserva_suelo_hab_norm,indice_expansion_norm,densidad_residencial_norm,precio_venta_score,precio_alquiler_score,coopscore,factor_escala,distancia_capital_km,distancia_costa_km,score_poblacion,score_suelo_residencial,score_reserva_suelo,score_expansion,score_densidad,score_precio_venta,score_precio_alquiler,IVU,IVEC,score_demanda_poblacion,score_demanda_alquiler,score_demanda_venta,IPD,score_capital,score_costa,score_litoral,IAL,CoopScore_4
18087,Granada,233975,,,,,,,,,GRANADA,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,1.0,,,,0.0,,,,,,1.0,0.0,114.4,1.0,0.13612467717814927,0.0,0.0,0.04636873289466367,0.8753356348293058,0.5993623804463337,4.0986479228736865,77.9544595366911,1.0,0.5993623804463337,0.12466436517069429,68.1006686404257,1.0,0.47595052679798444,0,0.5427851580393953,38.0297265909909
18157,Pinos Genil,1642,2.0,311292.158194865,31.129215819486497,155646.0790974325,155646.0790974325,210495.863056425,11981.568587710904,189.5810951247655,PINOS GENIL,233929.05004883,2868740.0,3102669.05004883,142.46592573010352,1747.1010962241169,Área Metropolitana,850.0,,700.0,E,Estimación por comarca/tipología,2026-05,1889.5670219542205,9.967064599509115,52.747875485258085,0.006427581723943278,0.14959723820483312,,0.1218578594259981,1.0,0.9999999999999999,0.05232394401827055,0.8504027617951668,,,0.85,16.5,81.7,0.006427581723943278,0.1218578594259981,1.0,0.9999999999999999,0.05232394401827055,0.8504027617951668,0.5993623804463337,63.831305645924,32.804595364821836,0.006427581723943278,0.5993623804463337,0.14959723820483312,19.04536955247633,0.9002599286707369,0.6257443884562528,0,0.5478272880051706,30.07777895380891
18140,Motril,59862,9.0,676210.490344715,67.6210490344715,75134.49892719055,20184.56143568,299493.51438305,14295.567440057292,11.296155997873692,MOTRIL,57849.0,0.0,57849.0,0.966372657111356,0.0,Costa Tropical,1491.0,7.8,57000.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.9663726571113561,0.08554880592063878,885.2568964063819,0.25540549787030226,0.39547372458764857,0.5100956429330499,0.0,0.0005114254460854837,0.008583149538817288,1.0,0.6045262754123515,0.4899043570669501,27.71490605702118,1.0,69.13,102.5,0.25540549787030226,0.0,0.0005114254460854837,0.008583149538817288,1.0,0.6045262754123515,0.5100956429330499,15.272837249547083,46.336163985736874,0.25540549787030226,0.5100956429330499,0.39547372458764857,35.409509081532576,0.5821193253944267,0.5304626660558864,0,0.39198652997453665,25.84070928365502
18134,Monachil,8664,,,,,,,,,MONACHIL,469405.0,627861.0,1097266.0,54.17878578024008,72.46779778393352,Sierra Nevada,1703.0,12.41,8500.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,126.6465835641736,,,0.036457175114182595,0.4767932489451477,1.0,,0.06702412885741077,,,0.5232067510548524,0.0,,1.0,13.38,6.9,0.036457175114182595,0.13612467717814927,0.06702412885741077,0.0,0.04636873289466367,0.5232067510548524,1.0,6.109371788596009,37.568395230181906,0.036457175114182595,1.0,0.4767932489451477,38.74268997933782,0.9191198694311793,0.9683921209344938,100,30.65816558405282,25.814776265996457
18017,Almuñécar,27544,14.0,1697002.899240285,169.70028992402848,121214.49280287747,70834.0872488325,434641.187886985,39058.3288234256,61.61061934505827,ALMUNECAR,,,0.0,,,Costa Tropical,3067.0,10.8,27500.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.0,0.0,162.3096814527006,0.11719752305034298,1.0,0.8289054197662062,0.03438996491617246,0.0,0.0,0.17704223241661182,0.0,0.17109458023379376,6.7782432681626,1.0,78.91,44.8,0.11719752305034298,0.03438996491617246,0.0,0.0,0.17704223241661182,0.0,0.8289054197662062,3.515382609153489,27.766946355586708,0.11719752305034298,0.8289054197662062,1.0,51.5825116466723,0.5230006649338088,0.7947778286761338,40,12.447633614576363,22.934893455954928
18173,Salobreña,12760,1.0,2549806.20594744,254.980620594744,2549806.20594744,2549806.20594744,2549806.20594744,37748.824768996055,199.8280725664138,SALOBRENA,,,0.0,,,Costa Tropical,2173.0,9.1,13500.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.0,0.0,50.04301883898947,0.053973725174908914,0.6570771001150748,0.6482465462274176,0.1288616744579399,0.0,0.0,0.049244904855793206,0.3429228998849252,0.3517534537725824,9.25749068464379,1.0,67.63,7.6,0.053973725174908914,0.1288616744579399,0.0,0.0,0.049244904855793206,0.3429228998849252,0.6482465462274176,3.9602154342853955,25.985888334812778,0.053973725174908914,0.6482465462274176,0.6570771001150748,35.331777417307755,0.5911866046061778,0.9651855245075585,100,30.526030299194737,21.294396384909234
18029,Benamaurel,2235,9.0,3295178.29285607,329.51782928560704,366130.92142845225,108955.231064285,1376322.68743883,32558.922140549806,1474.352703738734,BENAMAUREL,30085.0,446403.0,476488.0,13.460850111856823,199.73288590604028,Comarca de Baza,510.0,,1800.0,E,Estimación por comarca/tipología,2026-05,213.1937360178971,0.14460158378471463,6.782637542998716,0.008963547101387297,0.019179133103183726,,1.0,0.11282676588915524,0.01450794086273268,0.0,0.9808208668968162,,,0.85,109.41,36.8,0.008963547101387297,1.0,0.11282676588915524,0.01450794086273268,0.0,0.9808208668968162,0.5993623804463337,28.820041202556634,35.0038364686571,0.008963547101387297,0.5993623804463337,0.019179133103183726,15.911715193807302,0.3386326542948679,0.8314246449839671,40,12.384880455213137,20.972589244073955
18127,Maracena,22294,4.0,1233802.696448645,123.38026964486453,308450.6741121613,31368.636630975,1169108.105312765,23592.45478217816,55.34236549962524,MARACENA,144633.98034669,491263.0,635896.9803466899,6.487574250771059,22.035659818785323,Área Metropolitana,1604.0,8.43,19200.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,28.52323406955638,0.5153960047072713,180.6933966360313,0.09474589028207804,0.4388185654008439,0.5770456960680128,0.030105609772748926,0.015095116361661094,0.05170990912737286,0.19796910078850533,0.5611814345991561,0.4229543039319872,14.433724399280404,1.0,4.34,43.6,0.09474589028207804,0.030105609772748926,0.015095116361661094,0.05170990912737286,0.19796910078850533,0.5611814345991561,0.5770456960680128,5.726327520817322,31.893027164262012,0.09474589028207804,0.5770456960680128,0.4388185654008439,30.13390105082532,0.9737653388139998,0.8002748511223088,40,12.629588590862292,19.40538497468724
18067,Diezma,829,1.0,67389.79840357,6.7389798403570005,67389.79840357,67389.79840357,67389.79840357,1678.59928405597,81.29046852059108,DIEZMA,107550.0,194020.0,301570.0,129.73462002412546,234.0410132689988,,,,,,,,363.77563329312426,4.475009677192093,123.01565216673558,0.0029507860209719633,,,0.04784115325603596,0.19251798378493168,0.44897970034351836,0.13231237392672762,,,,0.85,34.02,39.0,0.0029507860209719633,0.04784115325603596,0.19251798378493168,0.44897970034351836,0.13231237392672762,0.8753356348293058,0.5993623804463337,22.425644964155317,33.94668131795547,0.0029507860209719633,0.5993623804463337,0.12466436517069429,18.2482079414743,0.7943541074774829,0.8213467704993129,40,12.564145674140788,19.36497191791798
18101,Huétor Vega,12285,,,,,,,,,HUETOR VEGA,,,0.0,,,Área Metropolitana,1704.0,,12700.0,V,Idealista/Indomio/Fotocasa 2026,2026-05,0.0,,,0.0519423869720659,0.4771768316072113,,,0.0,,,0.5228231683927886,,,1.0,10.57,23.1,0.0519423869720659,0.13612467717814927,0.0,0.0,0.04636873289466367,0.5228231683927886,0.5993623804463337,4.0986479228736865,28.241617621703718,0.0519423869720659,0.5993623804463337,0.4771768316072113,29.51059964994192,0.9361059058211932,0.8941823179111315,70,21.642697057701817,19.118985649572473
